,birch-ldcof,birch-cblof,kmeans-ldcof,kmeans-cblof
musk,"{'alpha': 0.8, 'beta': 10, 'contamination': 0.1, 'n_clusters': 5, 'threshold': 0.2}","{'alpha': 0.95, 'beta': 3, 'contamination': 0.1, 'n_clusters': 10, 'threshold': 0.5}","{'alpha': 0.8, 'beta': 3, 'contamination': 0.1, 'n_clusters': 5, 'n_init': 10, 'random_state': 4512}","{'alpha': 0.95, 'beta': 3, 'contamination': 0.1, 'n_clusters': 10, 'n_init': 10, 'random_state': 4512}"
wine,"{'alpha': 0.8, 'beta': 3, 'contamination': 0.1, 'n_clusters': 10, 'threshold': 0.7}","{'alpha': 0.9, 'beta': 3, 'contamination': 0.1, 'n_clusters': 5, 'threshold': 0.2}","{'alpha': 0.8, 'beta': 3, 'contamination': 0.1, 'n_clusters': 10, 'n_init': 10, 'random_state': 4512}","{'alpha': 0.9, 'beta': 3, 'contamination': 0.1, 'n_clusters': 5, 'n_init': 10, 'random_state': 4512}"
